Taxon,Total Counties,Counties with SLF,Percent Overlap (%),Estimated Range
Vitis x novae-angliae,218,122,55.96,Northern/Eastern
Vitis labrusca,1484,281,18.94,Northern/Eastern
Vitis rupestris,1107,189,17.07,Southern
Vitis baileyana,1524,223,14.63,Southern
Vitis aestivalis var. bicolor,2384,297,12.46,Northern/Eastern
Vitis vulpina,2414,283,11.72,Widespread
Vitis aestivalis var. aestivalis,2547,297,11.66,Widespread
Vitis aestivalis,2575,297,11.53,Widespread
Vitis riparia,2670,292,10.94,Widespread
Vitis cinerea,2179,225,10.33,Widespread
Vitis rotundifolia,1536,130,8.46,Southern
Vitis simpsonii,1347,104,7.72,Widespread
Vitis palmata,1369,30,2.19,Widespread
Vitis lincecumii,711,5,0.7,Southern
Vitis acerifolia,533,0,0,Southern
Vitis arizonica,348,0,0,Western
Vitis berlandieri,504,0,0,Southern
Vitis californica,94,0,0,Western
Vitis girdiana,58,0,0,Western
Vitis monticola,254,0,0,Southern
Vitis mustangensis,544,0,0,Southern
Vitis rufotomentosa,0,0,0,Southern
Vitis shuttleworthii,67,0,0,Southern
Vitis x champinii,254,0,0,Southern
Vitis x doaniana,331,0,0,Southern
